// Copyright (c) 2005-2008, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.

// ask server to send us localized messages
xmlLang	ru
online	в сети
chat	хочу поговорить
away	отсутствую
xa	давно отсутствую
invisible	невидимка
dnd	занят
offline	не в сети
Privacy Lists	Серверные списки
Message font	Шрифт сообщения
Roster font	Шрифт ростера
Paste Body	Встав. тело сообщения
Configure Room	Конфигуратор комнаты
Paste Subject	Встав. тему сообщения
Service Discovery	Обзор сервисов
User JID	JID пользователя
New list	Новый список
Privacy rule	Правило приватности
use SSL	Использовать SSL%Использование шифрования при подключении к серверу
Modify	Изменить
Update	Обновить
GMT offset	Часовой пояс (GMT+)
Time settings (hours)	Настройки времени
Connected	Соединение установлено
Connect to 	Соединение с 
Alert Profile	Сигналы
Move Up	Сместить вверх
Owners	Владельцы
Ok	ОК
Minimize	Свернуть
Room	Комната
Messages	Сообщения
Refresh	Обновить
Resolve Nicknames	Преобразовать в ник
Ban	Бан (ban)
Leave Room	Покинуть комнату
Password	Пароль
Actions	Действия
Activate	Активировать
Affiliation	Членство
Accounts	Учетные записи
Delete list	Удалить список
Account >	Учетные записи >
Select	Выбрать
Subject	Тема
Quit	Выход
Edit list	Редактировать список
Registering	Регистрация
Done	Выполнено
Error: 	Ошибка: 
Save list	Сохранить список
Keep-Alive period	Таймаут пинга
<New Group>	<Новая группа>
Send	Отправить
Priority	Приоритет
Failed	Ошибка соединения
Set Priority	Установить приоритет
Delete rule	Удалить правило
Ignore-List	Ignore-List
Roster request	Получение ростера
Type	Тип
Name	Имя
Category	Категория
User Profile	Учетная запись
fullscreen	Полноэкранный режим
Add bookmark	Добав. закладку
conferences only	Только конференции
Client Version	Версия клиента
Discard Search	Сбросить результаты
Search Results	Результаты поиска
Members	Члены
Add Contact	Добавить контакт
Subscription	Подписка
Status	Статус
Join	Присоединиться
Startup actions	Действия при запуске
Server	Сервер
Admins	Администраторы
Make Ignore-List	Создать Ignore-List
General Group	Основные
Options	Настройки
Delete	Удалить
Delete contact?	Удалить контакт?
Authorize	Авторизовать
Nicknames	Ники
to Archive	В архив
Back	Назад
heap monitor	монитор памяти(heap)
change softkeys	поменять местами софт-кнопки
Message	Сообщение
<Other>	<Другой>
Active Contacts	Актив. контакты
Select nickname	Выбрать ник
Group	Группа
Join conference	Присоединиться к конференции
No	Нет
Re-Enter Room	Перезайти в комнату
New Message	Новое сообщение
Add	Добавить
Logon	Подключить
at Host	Сервер
