// Copyright (c) 2005-2008, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.

// ask server to send us localized messages
xmlLang	ar
online	متصل
chat	متوفر للدردشة
away	بعيد
xa	بالخارج
invisible	مخفي
dnd	عدم الأزعاج
offline	غير متصل
Privacy Lists	قوائم الخصوصية
Message font	خط الرسالة
Roster font	خط القائمة
Paste Body	لصق جزء من الرسالة
Configure Room	اعدادات الغرفة
Paste Subject	لصق الموضوع
Service Discovery	أكتشاف الخدمات
User JID	JID المستخدم
New list	القائمة الجديدة
Privacy rule	قاعدة الخصوصية
use SSL	استخدام SSL%استخدام التشفير عند الاتصال بخادم معين
Modify	التعديل
Update	التحديث
GMT offset	المنطقة الزمنية (GMT+)
Time settings (hours)	ضبط الوقت
Connected	يتم تأسيس الاتصال
Connect to 	اتصال مع 
Alert Profile	الأصوات الشخصية
Move Up	تحريك لأعلى
Owners	المالك
Ok	موافق
Minimize	تصغير
Room	الغرفة
Messages	الرسالة
Refresh	تحديث
Resolve Nicknames	تغيير اللقب
Ban	حظر
Leave Room	مغادرة الغرفة
Password	كلمة السر
Actions	الخيارات
Activate	تفعيل
Affiliation	عدم تغعيل
Accounts	الحسابات
Delete list	حذف القائمة
Account >	الحسابات >
Select	اختيار
Subject	الموضوع
Quit	الخروج
Edit list	تعديل القائمة
Registering	تسجيل
Done	تم
Error: 	خطأ: 
Save list	حفظ القائمة
Keep-Alive period	فترة المحافظة على الحياة
<New Group>	<مجموعة جديدة>
Send	ارسال
Priority	الأولوية
Failed	فشل الأتصال
Set Priority	ضبط الأولوية
Delete rule	حذف القاعدة
Ignore-List	قائمة-التجاهل
Roster request	قائمة الطلب
Type	النوع
Name	الأسم
Category	الفئة
User Profile	تعريف المستخدم
fullscreen	شاشة كاملة
Add bookmark	أضافة إشارة مرجعية
conferences only	المؤتمرات فقط
Client Version	نوع النسخة
Discard Search	تجاهل البحت
Search Results	نتائج البحث
Members	الأعضاء
Add Contact	أضافة جهة اتصال
Subscription	اكتتاب
Status	الحالة
Join	انضمام
Startup actions	بدء النشاطات
Server	المخدم
Admins	المدراء
Make Ignore-List	جعل قائمة-التجاهل
General Group	المجموعة العام
Options	خيارات
Delete	حذف
Delete contact?	حذف جهة اتصال
Authorize	قبول
Nicknames	الألقاب
to Archive	الى الأرشيف
Back	عودة
heap monitor	مراقبة الذاكرة(حجم)
change softkeys	تغيير مفاتيح وظيقية
Message	رسالة
<Other>	<أخرى>
Active Contacts	اتصالات نشطة
Select nickname	اختيار لقب
Group	مجموعة
Join conference	انضمام للمؤتمر
No	لا
Re-Enter Room	أعادة الدخول للغرفة
New Message	رسالة جديدة
Add	أضافة
Logon	تسجيل الدخول
at Host	المضيف
join conferences	انضمام للمؤتمرات
Smiles	تفعيل/تعطيل الأبتسامات
Contact >	الاتصال >
offline contacts	الأسماء غير المتصلين
Transport	نقل
composing events	أشعار بالكتابة
Add Smile	أضافة ابتسامة
Nickname	اللقب
Revoke Voice	إلغاء الصوت
Not-in-list	غير موجود في القائمة
Commands	الأوامر
Set default	الضبط الافتراضي
Outcasts (Ban)	المحظورين (فصل)
Set affiliation to	ضبط غير مغعل الى
autologin	الدخول التلقائي
Logoff	تسجيل الخروج
Publish	Publish
Remove subscription	أزالة اشتراك
Set	الضبط
Bookmarks	علامات مرجعية
Test sound	أختبار الصوت
Startup	بدء التشغيل
Edit rule	تحرير القاعدة
Cancel	إلغاء
Archive	الأرشيف
Conference	المؤتمرات
Sound	الاصوات
Login failed	الخول فشل
Browse	تصفح
New Jid	جديد Jid
plain-text password	كلمة السر نص-عادي
Paste Nickname	لصق اللقب
Kick	طرد (ركل)
Remove readed	إزالة بعد
Grant Voice	أعطاء حق التحدث
Move Down	تحريك لأسفل
Quote	أقتبس
popup from background	المنبثقة من الخلفية
smiles	ادراج ابتسامة
About	عن
Resource	المصدر
Disconnected	قطع الأتصال
Edit	تعديل
Host name/IP	أسم المضيف/IP
Add rule	أضافة قواعد
for all status types	لاجل جميع الحالات
Paste Jid	لصق Jid
Goto URL	الذهاب الى URL
Yes	نعم
Suspend	رجوع
Alert Profile >	الأصوات >
My vCard	فيزيت كارت الخاصة بي
transports	وسائل النقل
Add Profile	أضافة للملف الشخصي
self-contact	الاتصال الذاتي
vCard	فيزيت كارت
Set Subject	ضبط الموضوع
Port	البورت
