// Copyright (c) 2005-2008, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.
xmlLang	PL
online	Dostępny
chat	Czat
away	Oddalony
xa	Zaraz wracam
invisible	Niewidoczny
dnd	Niedostępny
offline	Wylogowany
Jid	Jid
Privacy Lists	Listy Prywatności
Message font	Czcionka wiadomości
Roster font	Czcionka kontaktów
Paste Body	Wklej tekst
Configure Room	Konfiguracja
Paste Subject	Wklej temat
Service Discovery	Przeglądarka Serwera
User JID	JID użytkownika
New list	Nowa lista
Select (no login)	Wybierz (nie loguj)
Privacy rule	Zasada prywatności
use SSL	Szyfrowanie SSL
Modify	Modyfikuj
Update	Odśwież
Account name	Nazwa konta
GMT offset	Różnica w stosunku do (GMT+)
Time settings (hours)	Ustawienia zegara (godziny)
Connected	Połączono
Connect to 	Łączę z 
Alert Profile	Profil dźwięku
Move Up	Przenieś w górę
Owners	Właściciele
Ok	Ok
Minimize	Minimalizuj
Room	Pokój
Messages	Wiadomości
Refresh	Odśwież
Resolve Nicknames	Ustal pseudonimy 
Action	Opcje
Ban	Zablokuj
Leave Room	Opuść pokój
Password	Hasło
Actions	Opcje
Activate	Aktywuj
Affiliation	Przynależność
Accounts	Konta
Delete list	Usuń listę
Account >	Konta >
Select	Wybierz
Subject	Temat
Quit	Zakończ
Edit list	Dodaj do kontaktów
Registering	Rejestracja
Done	Wykonano
Error: 	Błąd: 
Browse	Przeglądaj 
Save list	Zapisz listę 
Keep-Alive period	Czas podtrzymania połączenia 
<New Group>	<Nowa Grupa>
Send	Wyślij 
Priority	Priorytet 
Failed	Brak uwierzytelnienia 
Set Priority	Ustaw priorytet 
Delete rule	Usuń zasadę 
Ignore-List	Lista ignorowanych
Roster request	Pobieranie kontaktów 
Type	Typ 
Name	Nazwa 
User Profile	Profil Użytkownika
fullscreen	Pełny ekran
Add bookmark	Dodaj zakładkę 
conferences only	Tylko konferencje 
Client Version	Wersja klienta 
Discard Search	Odrzuć wyszukiwanie 
Search Results	Rezultaty wyszukiwania
Members	Członkowie 
Add Contact	Dodaj kontakt 
Subscription	Autoryzacja 
Status	Status
Join	Wejdź 
Startup actions	Akcje początkowe 
Server	Serwer 
Admins	Administratorzy 
Make Ignore-List	Utwórz listę ignorowania 
General Group	Generalna
Options	Ustawienia
Delete	Usuń 
Delete contact?	Usunąć kontakt? 
Authorize	Akceptuj 
Nicknames	Pseudonimy 
to Archive	Do Archiwum 
Back	Wróć 
heap monitor	Monitor pamięci 
change softkeys	Zamień klawisze
Message	Wiadomość
<Other>	<Inny>
history -	Historia
Append	Dokończ 
Active Contacts	Aktywne kontakty 
Select nickname	Wybierz nick 
Group	Grupa 
Join conference	Dołącz do konferencji
No	Nie 
Re-Enter Room	Wejdź ponownie 
New Message	Napisz 
Add	Dodaj 
Logon	Włącz 
Stanzas	Szczegół
at Host	na Serwerze
join conferences	Automatyczne wejście do konferencji
Delete contacts, who leave MUC	Wyczyść kontakty po wyjściu z konferencji
Status	Status 
Smiles	Emotikony 
Contact >	Kontakt > 
offline contacts	Rozłączone kontakty 
Transport	Transport
composing events	Informacja komponowania 
Add Smile	Dodaj emotkę 
Nickname	Nick 
Revoke Voice	Odbierz głos 
Not-in-list	Spoza listy 
Commands	Komendy 
- (Sign)	- (Znak)
Set default	Ustaw Domyślnie 
Outcasts (Ban)	Zablokowani 
Set affiliation to	Zmień przynależność na
Register Account	Zarejestruj konto 
autologin	Autologowanie 
Logoff	Wyłącz
Publish	Publikuj
Remove subscription	Odbierz autoryzację 
Set	Ustaw 
Application	Aplikacja 
Bookmarks	Zakładki
Test sound	Test dźwięku 
Startup	Początek 
Edit rule	Edytuj zasadę 
Cancel	Anuluj 
Close	Zamknij 
Archive	Archiwum
Conference	Konferencje
Sound	Dźwięk 
Login failed	Nie uwierzytelniono 
Browse	Przeglądaj
New Jid	Nowy JID 
plain-text password	Nieszyfrowane hasło 
Paste Nickname	Wklej nick 
Kick	Wyrzuć
Remove readed	Usuń przeczytane
Grant Voice	Daj głos
Move Down	Przesuń w dół
Quote	Cytuj
Roster elements	Elementy rostera 
popup from background	Maksymalizuj gdy nowa wiadomość 
smiles	Emotikony 
About	O programie 
Resource	Zasób 
Disconnected	Rozłączono 
Edit	Edytuj 
Host name/IP	Nazwa hostu/IP
Add rule	Dodaj zasadę 
for all status types	Dla wszystkich typów statusu 
Paste Jid	Wklej JID 
Goto URL	Idź do linku
Clock offset	Różnica zegara
Contact's offset	Rozmiar przesunięcia listy kontaktów w prawo
Yes	Tak
Suspend	Przerwij
Alert Profile >	Profil dźwięku >
My vCard	Moja Wizytówka
transports	Transporty
Add Profile	Dodaj profil
self-contact	Własny kontakt
vCard	Katalog publiczny 
Set Subject	Ustaw temat
Port	Port
Resume Message	Dokończ
Are You sure want to discard 	Jesteś pewny, że chcesz zmienić 
 from OWNER to 	 z Właściciela na 
Modify affiliation	Modyfikuj przynależność
Clear	Wyczyść
Connect	Połącz
Unaffiliate	Odbierz przynależność
Grant Moderator	Daj Moderatora
Revoke Moderator	Odbierz Moderatora
Grant Admin	Daj Administratora
Grant Ownership	Daj Właściciela
Visitors are not allowed to send messages to all occupants	Nowoprzybyli Wizytorzy nie posiadają zezwolenia na wysyłanie wiadomości do wszystkich uczestników czatu. 
 is inviting You to 	 zaprasza Cię na: 
Ask subscription	Zapytaj o autoryzację 
Grant subscription	Daj autoryzację
Invite to conference	Zaproś do konferencji 
Reason	Powód 
You have been invited to 	Zostałeś zaproszony do: 
Participants	Uczestnicy 
Abc	Аbc
room presences	Uczestnicy pokoju
 is now known as 	 zmienił(a) nick na 
 was banned 	 został(a) zablokowany(a)
 was kicked 	 został(a) wyrzucony(a)
 has been kicked because room became members-only	 został(a) wyrzucony(a) ponieważ pokój jest tylko dla osób posiadających członkowstwo w pokoju
 has left the channel	 opuścił(a) rozmowę
 has joined the channel as 	 dołączył(a) do rozmowy jako 
 and 	 i 
 is now 	 jest teraz 
error	błąd
Select history folder	Wybierz folder historii 
Sound volume	Głośność
Language	Język 
Save history	Zapisuj historię 
Save presences	Zapisz obecność 
Save conference history	Zapisz czat 
Save conference presences	Zapisz obecność czata 
convert to cp1251	Konwertuj do cp1251 
History folder	Folder historii
Copy	Kopiuj 
Paste	Wklej 
Save template	Do notatek 
Template	Notatki
has set topic to	ustawił temat na
Seen	Aktywny
Idle	Bezczynny
Main menu	Menu
Choose status	Wybierz status 
Add status	Dodaj status 
Remove status	Usuń status 
Address	Adres
Make BackUp	Zapisz archiwum (BackUp)
Import from BackUp	Importuj zapisane archiwum (BackUp)
View	Podgląd 
Stop	Zatrzymaj 
File transfers	Transfer plików
Path	Przeglądaj 
Accept file	Akceptuj plik
File	Plik: 
Save To	Zaapisz do
Sender	Nadawca
Rejected	Odrzucono
Send file	Wyślij plik
Can't open file	Nie można otworzyć pliku
New	Nowa
New Template	Nowa notatka
Save photo	Zapisz zdjęcie
balloon ink	Czcionka chmurki 
balloon background	Tło chmurki
messagelist & roster background	Lista, Roster, Tło 
messagelist & roster even lines	Kolejna wiadomość 
messagelist & roster & common font	Czcionka kolumny 
message subject	Czcionka tematu 
message highlight	Czcionka wiadomości systemu 
service discovery commands	Czcionka serwera 
panels background	Tło paneli
header font	Czcionka paneli
contact default	Kontakt Dostępny 
contact chat	Kontakt Czat 
contact away	Kontakt Oddalony 
contact extended away	Kontakt Zaraz wracam 
contact do not disturb	Kontakt Niedostępny
group color	Kolor grupy
Nick colors	Własny kolor nicków
keylock font	Kolor czcionki blokady klawiatury 
keylock background	Tło blokady klawiatury 
message incoming	Wiadomość przychodząca 
message outgoing	Wiadomość wychodząca
message presence	Wiadomość obecności 
message auth	Wiadomość autoryzacji 
message history	Wiadomość historii 
progress bar remained	Pasek postępu: początek 
progress bar complete	Pasek postępu: koniec 
progress bar font	Pasek postępu: czcionka
Group gradient 1 and Heap mon total	Gradient grup 1 i pamięć razem
Group gradient 2 and Heap mon free	Gradient grup 2 i wolna pamięć
Heap mon total	Monitor pamięci pełny
Heap mon free	Monitor pamięci wolny
Cursor background	Tło kursora
Cursor ink & outline	Czcionka i ramka kursora
Scroll border	Scroll: obramowanie
Scroll bar	Scroll: kolor
Scroll back	Scroll: tło
other message incoming	Inna wiadomość przychodząca
other message outgoing	Inna wiadomość wychodząca
other message presence	Inna wiadomość statusu
Popup font	Czcionka popup
Popup background	Tło popup
