// Copyright (c) 2005-2008, Eugene Stahov (evgs), http://bombus-im.org
// All rights reserved.

// ask server to send us localized messages
xmlLang	uk
online	в мережі
chat	хочу поговорити
away	відійшов
xa	недосяжний
invisible	невидимка
dnd	не турбувати
offline	не в мережі
Privacy Lists	Серверні списки
Message font	Шрифт повідомлення
Roster font	Шрифт ростера
Paste Body	Встав. тіло повідомлення
Configure Room	Конфігуратор кімнати
Paste Subject	Встав. тему повідомлення
Service Discovery	Огляд сервісів
User JID	JID користувача
New list	Новий список
Privacy rule	Правило приватності
use SSL	Використовувати SSL%Використання шифрування при підключенні до сервера
Modify	Змінити
Update	Оновити
GMT offset	Часовий пояс (GMT+)
Time settings (hours)	Налаштування часу
Connected	З'єднання встановлено
Connect to 	З'єднання з 
Alert Profile	Сигнали
Move Up	Змістити вгору
Owners	Власники
Ok	ОК
Minimize	Згорнути
Room	Кімната
Messages	Повідомлення
Refresh	Оновити
Resolve Nicknames	Перетворити в нік
Ban	Бан (ban)
Leave Room	Вийти із конференції
Password	Пароль
Actions	Дії
Activate	Активувати
Affiliation	Членство
Accounts	Облікові записи
Delete list	Видалити список
Account >	Облікові записи>
Select	Вибрати
Subject	Тема
Quit	Вихід
Edit list	Редагувати список
Registering	Реєстрація
Done	Виконано
Error: 	Помилка:
Save list	Зберегти список 
Keep-Alive period	Період Keep-Alive
<New Group>	<Нова група>
Send	Надіслати
Priority	Пріоритет
Failed	Помилка З'єднання
Set Priority	Встановити пріоритет
Delete rule	Видалити правило
Ignore-List	Список ігрорування
Roster request	Отримання ростера
Type	Тип
Name	Ім'я
Category	Категорія
User Profile	Логін
fullscreen	Повноекранний режим
Add bookmark	Додати закладку
conferences only	тільки конференції
Client Version	Версія клієнта
Discard Search	Скинути результати
Search Results	Результати пошуку
Members	Члени
Add Contact	Додати контакт
Subscription	Підписка
Status	Статус
Join	Приєднатися
Startup actions	Дії при запуску
Server	Сервер
Admins	Адміністратор
Make Ignore-List	Створити список ігнорування
General Group	Головна
Options	Налаштування
Delete	Видалити
Delete contact?	Видалити контакт?
Authorize	Авторизувати
Nicknames	Ніки
to Archive	В архів
Back	Назад
heap monitor	Монітор пам'яті(heap)
change softkeys	Поміняти місцями софт-клавіші
Message	Повідомлення
<Other>	<Інший>
Active Contacts	Активні контакти
Select nickname	Вибрати нік
Group	Група
Join conference	При'єднатися до конференції
No	Ні
Re-Enter Room	Перезайти в кімнату
New Message	Нове повідомлення
Add	Додати
Logon	Під'єднати
at Host	Сервер
join conferences	Автоматично заходити в відмічені конференції%Підключення до конференцій вибраних в закладках при з'єднанні з сервером
Smiles	Вкл/викл смайлики
Contact >	Контакт >
offline contacts	Показувати відключених
Transport	Транспорт
