afraid	зляканий
amazed	здивований
amorous	закоханий
angry	сердитий
annoyed	роздратований
anxious	тривожний
aroused	збуджений
ashamed	присоромлений
bored	нудьгуючий
brave	сміливий
calm	спокійний
cautious	обережний
cold	холодно
confident	впевнений
confused	збентежений
contemplative	споглядальний
contented	задоволений
cranky	незадоволений
crazy	скажений
creative	творчий
curious	допитливий
dejected	пригнічений
depressed	депресія
disappointed	розчарований
disgusted	відчуваю огиду
dismayed	стурбований
distracted	розгублений
embarrassed	збентежений
envious	заздрісний
excited	схвильований
flirtatious	кокетливий
frustrated	засмучений
grateful	благородний
grieving	скорботливий
grumpy	дратівливий
guilty	винуватий
happy	щасливий
hopeful	надіюсь
hot	жарко
humbled	смиренний
humiliated	принижений
hungry	хочу їсти
hurt	скривджений
impressed	вражений
in_awe	підчинений
in_love	любов
indignant	обурений
interested	зацікавлений
intoxicated	п'яний
invincible	нездоланний
jealous	ревнивий
lonely	одинокий
lost	втрачений
lucky	щасливий
mean	підлий
moody	смутний
nervous	нервовий
neutral	байдужий
offended	ображений
outraged	обурений
playful	грайливий
proud	гордий
relaxed	розслаблений
relieved	угасаючий
remorseful	розкаюваючийся
restless	невгамовний
sad	сумний
sarcastic	саркастичний
satisfied	задоволений
serious	серйозний
shocked	шокований
shy	соромливий
sick	хворий
sleepy	сонний
spontaneous	спонтанний
stressed	стрес
strong	сильний
surprised	здивований
thankful	благородний
thirsty	хочу пити
tired	втомлений
undefined	невизначений
weak	слабкий
worried	неспокійний
-	<немає настрою>
