afraid	przestraszony
amazed	zdumiony
amorous	zauroczony
angry	zły
annoyed	zirytowany
anxious	niespokojny
aroused	wzbudzony
ashamed	zawstydzony
bored	znudzony
brave	odważny
calm	spokojny
cautious	ostrożny
cold	zmarznięty
confident	pewny
confused	zmieszany
contemplative	kontęplujący
contented	zadowolony
cranky	nawiedzony
crazy	szalony
creative	kreatywny
curious	niezadowolony
dejected	odrzucony
depressed	zdepresowany
disappointed	rozczarowany
disgusted	obrzydzony
dismayed	zlękniony
distracted	rozproszony
embarrassed	zakłopotany
envious	zawistny
excited	podekscytowany
flirtatious	zalotny
frustrated	sfrustrowany
grateful	wdzięczny
grieving	zasmucony
grumpy	w złym humorze
guilty	winny
happy	szczęśliwy
hopeful	pełen nadziei
hot	gorący
humbled	pokorny
humiliated	upokorzony
hungry	głodny
hurt	zraniony
impressed	pod wrażeniem
in_awe	zachwycony
in_love	zakochany
indignant	oburzony
interested	zainteresowany
intoxicated	nietrzeźwy
invincible	niezwyciężony
jealous	zazdrosny
lonely	samotny
lost	zagubiony
lucky	szczęściarz
mean	nieuprzejmy
moody	melancholijny
nervous	zdenerwowany
neutral	neutralny
offended	obrażony
outraged	rozbity
playful	zabawny
proud	dumny
relaxed	zrelaksowany
relieved	zwolniony
remorseful	z wyrzutami sumienia
restless	nerwowy
sad	smutny
sarcastic	sarkastyczny
satisfied	usatysfakcjonowany
serious	poważny
shocked	zaszokowany
shy	nieśmiały
sick	chory
sleepy	senny
spontaneous	spontaniczny
stressed	zestresowany
strong	silny
surprised	zaskoczony
thankful	zobowiązany
thirsty	spragniony
tired	zmęczony
undefined	nieokreślony
unknown	nieznany
weak	słaby
worried	zmartwiony
-	<brak>
